city,pagerank
Atlanta GA,0.04045
Chicago IL,0.03589
Dallas/Fort Worth TX,0.03475
Denver CO,0.02704
Cincinnati OH,0.02643
Houston TX,0.02579
Minneapolis MN,0.02504
Detroit MI,0.02149
Salt Lake City UT,0.02061
New York NY,0.01770
Newark NJ,0.01682
Los Angeles CA,0.01655
San Francisco CA,0.01570
Phoenix AZ,0.01481
Orlando FL,0.01478
Las Vegas NV,0.01420
Washington DC,0.01396
Seattle WA,0.01323
Charlotte NC,0.01242
Baltimore MD,0.01208
Tampa FL,0.01185
Cleveland OH,0.01184
Fort Lauderdale FL,0.01134
Boston MA,0.01101
Philadelphia PA,0.01057
Anchorage AK,0.00951
Miami FL,0.00929
Memphis TN,0.00879
St. Louis MO,0.00876
Portland OR,0.00873
San Diego CA,0.00854
Nashville TN,0.00837
Dallas TX,0.00787
Kansas City MO,0.00747
Austin TX,0.00742
New Orleans LA,0.00707
Oakland CA,0.00631
San Antonio TX,0.00602
Honolulu HI,0.00599
Sacramento CA,0.00586
Pittsburgh PA,0.00575
Indianapolis IN,0.00573
Albuquerque NM,0.00572
Raleigh/Durham NC,0.00559
San Jose CA,0.00531
Milwaukee WI,0.00519
Columbus OH,0.00499
Fort Myers FL,0.00478
Hartford CT,0.00469
Birmingham AL,0.00454
Jacksonville FL,0.00435
Santa Ana CA,0.00415
San Juan PR,0.00406
Myrtle Beach SC,0.00403
Juneau AK,0.00400
Louisville KY,0.00384
Reno NV,0.00367
Kahului HI,0.00363
Oklahoma City OK,0.00361
West Palm Beach/Palm Beach FL,0.00352
Norfolk VA,0.00349
Ontario CA,0.00349
Buffalo NY,0.00347
Omaha NE,0.00343
El Paso TX,0.00337
Providence RI,0.00331
Tulsa OK,0.00331
Richmond VA,0.00317
Boise ID,0.00316
Albany NY,0.00316
Tucson AZ,0.00299
Manchester NH,0.00295
Little Rock AR,0.00288
Grand Rapids MI,0.00285
Long Beach CA,0.00285
Charleston SC,0.00278
Dayton OH,0.00269
Lexington KY,0.00268
Greensboro/High Point NC,0.00267
Rochester NY,0.00263
Fresno CA,0.00261
Burbank CA,0.00261
Syracuse NY,0.00257
Knoxville TN,0.00251
Bozeman MT,0.00250
Spokane WA,0.00248
Trenton NJ,0.00247
Fayetteville AR,0.00243
Greer SC,0.00233
Colorado Springs CO,0.00231
Portland ME,0.00228
Kona HI,0.00228
Madison WI,0.00224
Savannah GA,0.00217
Ketchikan AK,0.00217
White Plains NY,0.00216
Akron OH,0.00216
Islip NY,0.00214
Palm Springs CA,0.00208
Des Moines IA,0.00206
Rapid City SD,0.00205
Atlantic City NJ,0.00202
Huntsville AL,0.00202
Pensacola FL,0.00201
Columbia SC,0.00200
Traverse City MI,0.00198
Charlotte Amalie VI,0.00197
Burlington VT,0.00197
Jackson WY,0.00196
Santa Barbara CA,0.00192
Lihue HI,0.00192
Wichita KS,0.00189
Kalispell MT,0.00187
Jackson/Vicksburg MS,0.00185
Flint MI,0.00183
Fairbanks AK,0.00176
Lubbock TX,0.00169
Midland/Odessa TX,0.00169
