carrier1,carrier2,correlation
AA,AA,1.00000
AA,AS,0.09630
AA,B6,0.26352
AA,CO,0.15755
AA,DH,0.13305
AA,DL,0.16662
AA,EV,0.27524
AA,F9,0.18422
AA,FL,0.19007
AA,HA,0.01283
AA,HP,0.25702
AA,MQ,0.83767
AA,NK,0.58038
AA,NW,0.11875
AA,OH,0.06660
AA,OO,0.24406
AA,TZ,0.50306
AA,UA,0.42707
AA,US,0.37334
AA,VX,0.23735
AA,WN,0.34405
AA,XE,0.08514
AS,AA,0.09630
AS,AS,1.00000
AS,B6,0.05839
AS,CO,0.06924
AS,DH,0.01938
AS,DL,0.06244
AS,EV,-0.01316
AS,F9,0.10182
AS,FL,-0.00408
AS,HA,0.05036
AS,HP,0.14120
AS,MQ,0.02496
AS,NK,0.06806
AS,NW,0.04503
AS,OH,-0.01853
AS,OO,0.20232
AS,TZ,0.04945
AS,UA,0.20165
AS,US,0.01433
AS,VX,0.22706
AS,WN,0.19208
AS,XE,-0.01485
B6,AA,0.26352
B6,AS,0.05839
B6,B6,1.00000
B6,CO,0.12632
B6,DH,0.18815
B6,DL,0.20688
B6,EV,0.04887
B6,F9,0.07101
B6,FL,0.15168
B6,HA,-0.00838
B6,HP,0.09547
B6,MQ,0.18921
B6,NK,0.33169
B6,NW,0.07195
B6,OH,0.23686
B6,OO,0.02739
B6,TZ,0.25820
B6,UA,0.21993
B6,US,0.26600
B6,VX,0.29728
B6,WN,0.16522
B6,XE,0.03390
CO,AA,0.15755
CO,AS,0.06924
CO,B6,0.12632
CO,CO,1.00000
CO,DH,0.06376
CO,DL,0.09876
CO,EV,0.40452
CO,F9,0.11647
CO,FL,0.10346
CO,HA,0.00379
CO,HP,0.11096
CO,MQ,0.09621
CO,NK,0.32001
CO,NW,0.07117
CO,OH,0.01838
CO,OO,0.14284
CO,TZ,0.13552
CO,UA,0.41064
CO,US,0.08684
CO,VX,0.14141
CO,WN,0.34557
CO,XE,0.94292
DH,AA,0.13305
DH,AS,0.01938
DH,B6,0.18815
DH,CO,0.06376
DH,DH,1.00000
DH,DL,0.09106
DH,EV,0.06179
DH,F9,0.06930
DH,FL,0.07815
DH,HA,-0.01098
DH,HP,0.03178
DH,MQ,0.07413
DH,NK,0.02229
DH,NW,0.07691
DH,OH,0.08720
DH,OO,0.00091
DH,TZ,0.11314
